,language,count,mean,std,min,25%,50%,75%,max,mode,skewness,kurtosis
adak_index,go,2000.0,-86.1646,29.8408,-99.4203,-95.8333,-91.9192,-88.4058,391.2281,-88.4058,8.289,89.5507
adak_ss,go,2000.0,-87.2613,28.1493,-99.4221,-95.9246,-92.4732,-89.3044,376.5602,-89.3044,8.8383,100.1165
lsa_index,go,2000.0,-2.0129,0.8265,-4.3467,-2.5349,-1.9204,-1.4791,1.5254,-1.4791,0.1305,1.0198
codebert_score,go,2000.0,0.9663,0.0209,0.8635,0.9586,0.9719,0.9811,0.9925,0.9828,-1.802,3.8947
mcv,go,2000.0,1.9812,3.7804,0.8,0.8,0.8,1.6,56.0,0.8,7.0193,64.0228
sfv,go,2000.0,22.7264,21.0373,2.4,8.7,15.0,28.2,138.0,6.9,2.2146,5.6043
code_token_length,go,2000.0,91.465,83.9736,22.0,34.0,60.0,116.25,509.0,25.0,2.0057,4.3589
adak_index,java,2000.0,-75.2184,38.3561,-99.4624,-93.2102,-85.1852,-71.4286,486.6667,-81.3953,6.5636,63.601
adak_ss,java,2000.0,-76.9782,33.1863,-99.4644,-93.4565,-85.7877,-72.4995,415.122,-96.5768,6.3298,62.7461
lsa_index,java,2000.0,-1.6673,0.91,-4.4215,-2.2634,-1.6094,-1.0718,1.6431,-1.4081,-0.0916,0.2556
codebert_score,java,2000.0,0.9565,0.0283,0.8239,0.9462,0.9666,0.9762,0.992,0.9616,-1.7226,2.987
mcv,java,2000.0,3.73,3.7637,0.8,1.6,2.4,4.8,63.2,0.8,4.6492,43.4884
sfv,java,2000.0,26.2821,24.1476,2.4,11.4,17.7,32.1,151.8,12.9,2.3281,6.0471
code_token_length,java,2000.0,93.7125,82.2782,22.0,42.0,64.0,114.0,512.0,45.0,2.3271,5.9804
adak_index,javascript,2000.0,-71.0788,63.328,-99.449,-94.6667,-88.2784,-71.7172,877.7778,-73.3333,7.706,81.1825
adak_ss,javascript,2000.0,-80.2638,32.348,-99.4514,-95.16,-90.5738,-77.2585,413.4884,-93.495,6.2027,59.9089
lsa_index,javascript,2000.0,-1.6648,0.9873,-4.3972,-2.3105,-1.6886,-1.0299,1.9276,-2.1068,0.2576,0.2611
codebert_score,javascript,2000.0,0.9503,0.0298,0.8408,0.9329,0.9598,0.9744,0.996,0.9746,-0.9974,0.3076
mcv,javascript,2000.0,3.2348,4.311,0.8,0.8,2.4,4.0,65.6,0.8,4.8814,39.977
sfv,javascript,2000.0,22.2723,20.1299,1.5,9.6,15.9,27.6,151.2,12.6,2.3558,7.6873
code_token_length,javascript,2000.0,121.1485,95.7757,25.0,55.0,87.0,151.0,508.0,54.0,1.7906,3.1255
adak_index,php,2000.0,-66.8409,31.5113,-99.096,-86.9919,-75.1525,-55.5556,366.6667,-66.6667,3.9799,33.3676
adak_ss,php,2000.0,-72.5516,24.7462,-99.1065,-88.3121,-78.2077,-64.5714,218.9873,-75.2577,3.8003,28.3325
lsa_index,php,2000.0,-1.1904,0.729,-3.9065,-1.6764,-1.1371,-0.669,1.3531,-1.0484,-0.3378,0.1202
codebert_score,php,2000.0,0.957,0.0229,0.8564,0.9458,0.9636,0.9746,0.9891,0.971,-1.2589,1.3968
mcv,php,2000.0,2.9992,2.3657,0.8,1.6,2.4,4.0,42.4,2.4,5.9927,68.7899
sfv,php,2000.0,14.0538,12.565,2.1,6.3,9.9,17.4,115.8,4.8,2.7218,10.9155
code_token_length,php,2000.0,107.63,82.8099,28.0,52.75,78.0,130.0,510.0,42.0,2.0506,4.6229
adak_index,python,2000.0,-77.3804,33.2105,-99.4613,-95.1515,-89.3333,-71.9298,391.2281,-91.9192,4.6536,36.9986
adak_ss,python,2000.0,-80.139,25.0167,-99.463,-95.3146,-90.0415,-73.7484,136.3981,-90.0415,3.0256,13.3867
lsa_index,python,2000.0,-1.7885,0.954,-4.4195,-2.4615,-1.801,-1.1114,1.4652,-1.801,0.042,-0.188
codebert_score,python,2000.0,0.9695,0.0271,0.8512,0.9554,0.9778,0.9911,0.9996,0.9943,-1.2237,1.1737
mcv,python,2000.0,4.7424,7.009,0.8,0.8,2.4,5.6,118.4,0.8,5.2902,52.7605
sfv,python,2000.0,29.3756,24.6915,2.7,12.3,20.4,36.3,148.5,9.6,1.8445,3.3885
code_token_length,python,2000.0,104.002,87.6868,21.0,42.0,72.5,130.0,499.0,42.0,1.8086,3.1638
adak_index,ruby,2000.0,-64.7567,73.6926,-99.374,-92.5926,-83.3333,-59.1554,1605.0505,-91.9192,13.2382,262.6755
adak_ss,ruby,2000.0,-67.2797,67.7514,-99.3757,-92.9687,-84.0266,-62.3444,1538.1923,-18.9873,14.1772,299.1699
lsa_index,ruby,2000.0,-1.4231,0.9373,-4.2705,-2.0373,-1.4782,-0.7793,2.7459,-1.801,0.1915,0.318
codebert_score,ruby,2000.0,0.9586,0.0244,0.8345,0.9498,0.9675,0.9754,0.9964,0.9712,-1.5511,2.2789
mcv,ruby,2000.0,4.6744,8.8311,0.8,0.8,2.4,5.6,195.2,0.8,11.6274,199.0538
sfv,ruby,2000.0,19.3935,16.7801,1.5,9.9,13.8,22.5,147.0,7.5,3.2058,13.3999
code_token_length,ruby,2000.0,65.882,56.2241,16.0,34.0,47.0,75.0,482.0,27.0,3.2279,13.4725
